Maabou no Kinoshita Toukichirou,1938.0
Sora no Arawashi,1938.0
Shin Saru Kani Gassen,1939.0
Benkei Tai Ushiwaka,1939.0
Oyoge ya Oyoge,1939.0
Ochou Fujin no Gensou,1940.0
Ahiru Rikusentai,1940.0
Kintarou Taiiku Nikki,1940.0
Yume no Majutsushi,1940.0
Doubutsu Tonarigumi,1941.0
Namake Gitsune,1941.0
Princess Iron Fan,1941.0
Ari-chan,1941.0
Kangaroo no Tanjoubi,1941.0
Fuku-chan no Kishuu,1942.0
Kyouryoku Boukuusen,1942.0
Doubutsu Mura no Daisodou,1942.0
Osaru no Sankichi: Boukuusen,1942.0
Maabou no Tekketsu Rikusentai,1942.0
Spy Gekimetsu,1942.0
Fuku-chan no Zousan Butai,1943.0
Kumo to Tulip,1943.0
Momotaro's Sea Eagle,1943.0
Fuku-chan no Sensuikan,1944.0
"Momotaro, Sacred Sailors",1945.0
Mahou no Pen,1946.0
Kumo no Ito,1946.0
Sakura: Haru no Gensou,1946.0
Muku no Ki no Hanashi,1947.0
Yuki no Yo no Yume,1947.0
Suteneko Tora-chan,1947.0
Huangdi Meng,1947.0
Tora-chan to Hanayome,1948.0
Kitsune to Circus,1948.0
Kuma ni Kuwarenu Otoko,1948.0
Wengzhong Zhuobie,1948.0
Kitsune no Home Run Ou,1949.0
Gulliver Funtouki,1950.0
Tora-chan no Kankan Mushi,1950.0
Xiexie Xiaohua Mao,1950.0
Ponsuke no Udekurabe,1951.0
Xiao Tiezhu,1951.0
Kujira (1952),1952.0
Dangobei Torimonochou: Hirake - Goma no Maki,1952.0
Xiaomao Diaoyu,1952.0
Mori no Ongakukai,1953.0
Xiao Xiao Ying Xiong,1953.0
Ari to Hato (1953),1953.0
Cai Mogu,1953.0
Kappa Kawatarou,1954.0
Hana to Chou,1954.0
Cinterrier-jou no Hanamuko,1954.0
Xiaomei de Meng,1954.0
Hao Pengyou,1954.0
Kuakou de Qingwa,1954.0
Onbu Obake,1955.0
Cuxin de Xiaopang,1955.0
Xiao Xiong De Lu Xing,1955.0
Yewai de Zaoyu,1955.0
Wuya Weishenme Shi Hei De,1956.0
Kuroi Kikori to Shiroi Kikori,1956.0
